"[AG-409] BÁO CÁO CHI TIẾT TIẾN ĐỘ ĐƠN HÀNG NĂM 2025","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","42","","","","","",""
"STT","THÁNG","NGÀY ĐẶT HÀNG","CỬA HÀNG","","SỐ PO","","THÔNG TIN ĐƠN HÀNG","","","","","","","THỰC HIỆN ĐƠN HÀNG","","","TIẾN ĐỘ ĐƠN HÀNG","","","","","",""
"","","","","KHÁCH HÀNG","","LOẠI SẢN PHÂM","MÃ SẢN PHẨM","TÊN SẢN PHẨM","LOẠI VÀNG","QUY CÁCH 
(Độ dài/Đường kính)","SỐ LƯỢNG
(Sợi/Viên)","TỔNG TRỌNG LƯỢNG
(Gram)","DEADLINE ĐƠN HÀNG","NGÀY ĐỀ XUẤT NVL","NGÀY NHẬN NVL","NGÀY BẮT ĐẦU THỰC HIỆN","ĐÃ GIAO","TIẾN ĐỘ HOÀN THÀNH","TRẠNG THÁI ĐƠN HÀNG","NGÀY HOÀN TẤT","","",""
"[1]","[2]","[3]","[4]","","[5]","","[6]","[7]","[8]","[9]","[10]","[11]","[12]","[13]","[14]","[15]","","[16]","[17]","[18]","","",""
"29","THÁNG 02","10/02/2025","PKD SĨ","","DHAG-25/02/02","DD","CY60CA4","Dây Chữ Cong Khế  0.60mm","610Y","46-48","10","","Theo tiến độ sx","","","","8","Đã giao: 8 sợi ngày 09/04/2025","NGƯNG SX","","","","TH đặc biệt: Thiếu bi / dây xỏ trong lúc ra dây"
"30","THÁNG 02","10/02/2025","PKD SĨ","","DHAG-25/02/02","DD","CY35CU","Dây Khoen Lật size 0.35mm","610Y","43-45","15","22.50","Theo tiến độ sx","","","","22","Đã giao đủ","HOÀN TẤT","22/02/2025","","","Đã giao nhưng chưa giao đủ"
"31","THÁNG 02","10/02/2025","PKD SĨ","","DHAG-25/02/02","DD","CY40CU","Dây Khoen Lật size 0.40mm","610Y","44-46","15","39.00","Theo tiến độ sx","","","","19","Đã giao đủ","HOÀN TẤT","11/03/2025","","","Sắp làm"
"32","THÁNG 02","10/02/2025","PKD SĨ","","DHAG-25/02/02","DD","CY50CU","Dây Khoen Lật size 0.50mm","610Y","45-47","15","60.00","Theo tiến độ sx","","","","7","Đã giao: 7 sợi ngày 27/02/2025","NGƯNG SX","","","",""
"33","THÁNG 02","10/02/2025","PKD SĨ","","DHAG-25/02/02","BB","GBY3-01","Vòng Bi Khắc Kim Cương 1 Tầng","610Y","50-52-54","10","56.00","Theo tiến độ sx","","","","10","Đã giao: 7 chiếc ngày 27/02/2025
            + 1 chiếc ngày 28/02/2025
            + 2 chiếc ngày 25/03/2025","HOÀN TẤT","25/03/2025","","",""
"34","THÁNG 02","10/02/2025","PKD SĨ","","DHAG-25/02/02","BB","GBY3-01","Vòng Bi Khắc Lồng Đèn 1 Tầng","610Y","50-52-54","5","28.00","Theo tiến độ sx","","","","5","Đã giao đủ","HOÀN TẤT","18/03/2025","","",""
"35","THÁNG 02","10/02/2025","PKD SĨ","","DHAG-25/02/02","BB","GBY3-01","Vòng Bi Khắc Xoáy 1 Tầng","610Y","50-52-54","5","28.00","Theo tiến độ sx","","","","5","Đã giao đủ","HOÀN TẤT","18/03/2025","","",""
"36","THÁNG 02","10/02/2025","PKD SĨ","","DHAG-25/02/02","BB","GBY3-02","Vòng Bi Khắc Kim Cương 2 Tầng","610Y","50-52-54","3","36.90","Theo tiến độ sx","","","","3","Đã giao đủ","HOÀN TẤT","25/03/2025","","",""
"37","THÁNG 02","10/02/2025","PKD SĨ","","DHAG-25/02/02","BB","GBY3-02","Vòng Bi Khắc Xoáy 2 Tầng","610Y","50-52-54","3","36.90","Theo tiến độ sx","","","","3","Đã giao đủ","HOÀN TẤT","11/03/2025","","",""
"38","THÁNG 02","10/02/2025","PKD SĨ","","DHAG-25/02/02","BB","GBY3-02","Vòng Bi Khắc Lồng đèn 2 Tầng","610Y","50-52-54","3","36.90","Theo tiến độ sx","","","","3","Đã giao đủ","HOÀN TẤT","18/03/2025","","",""
"39","THÁNG 02","10/02/2025","PKD SĨ","","DHAG-25/02/02","BB","GBY3-03","Vòng Bi Khắc Kim Cương 3 Tầng","610Y","50-52-54","2","36.00","Theo tiến độ sx","","","","2","Đã giao đủ","HOÀN TẤT","25/03/2025","","",""
"40","THÁNG 02","10/02/2025","PKD SĨ","","DHAG-25/02/02","BB","GBY3-03","Vòng Bi Khắc Xoáy  3 Tầng","610Y","50-52-54","2","36.00","Theo tiến độ sx","","","","1","Đã giao: 1 chiếc ngày 12/03/2025
             +1 chiếc ngày 18/03/2025","HOÀN TẤT","18/03/2025","","",""
"41","THÁNG 02","10/02/2025","PKD SĨ","","DHAG-25/02/02","BB","GBY3-03","Vòng Bi Khắc Lồng đèn  3 Tầng","610Y","50-52-54","2","36.00","Theo tiến độ sx","","","","2","Đã giao đủ","HOÀN TẤT","18/03/2025","","",""
"42","THÁNG 02","10/02/2025","PKD SĨ","","DHAG-25/02/02","BB","GBY4-01","Vòng Bi Khắc Kim Cương 1 Tầng","610Y","50-52-54","3","22.50","Theo tiến độ sx","","","","3","Đã giao đủ","HOÀN TẤT","16/04/2025","","",""
"43","THÁNG 02","10/02/2025","PKD SĨ","","DHAG-25/02/02","BB","GBY4-01","Vòng Bi Khắc Xoáy  1 Tầng","610Y","50-52-54","3","22.50","Theo tiến độ sx","","","","3","Đã giao đủ","HOÀN TẤT","16/04/2025","","",""
"44","THÁNG 02","10/02/2025","PKD SĨ","","DHAG-25/02/02","BB","GBY4-01","Vòng Bi Khắc Lồng Đèn  1 Tầng","610Y","50-52-54","3","22.50","Theo tiến độ sx","","","","3","Đã giao đủ","HOÀN TẤT","16/04/2025","","",""
"45","THÁNG 02","10/02/2025","PKD SĨ","","DHAG-25/02/02","BB","GBY46-01","Vòng Bi Khắc Kim Cương 1 Tầng","610Y","50-52-54","2","16.40","Theo tiến độ sx","","","","2","Đã giao đủ","HOÀN TẤT","16/04/2025","","",""
"46","THÁNG 02","10/02/2025","PKD SĨ","","DHAG-25/02/02","BB","GBY46-01","Vòng Bi Khắc Xoáy  1 Tầng","610Y","50-52-54","2","16.40","Theo tiến độ sx","","","","2","Đã giao đủ","HOÀN TẤT","28/04/2025","","",""
"47","THÁNG 02","10/02/2025","PKD SĨ","","DHAG-25/02/02","BB","CBY2.5","Dây Bi Khắc Kim Cương 2.5mm","610Y","45-47","5","53.00","Theo tiến độ sx","","","","5","Đã giao đủ","HOÀN TẤT","27/02/2025","","",""
"48","THÁNG 02","10/02/2025","PKD SĨ","","DHAG-25/02/02","BB","CBY2.5","Dây Bi Khắc Xoáy  2.5mm","610Y","45-47","5","53.00","Theo tiến độ sx","","","","4","Đã giao: 3 sợi ngày 27/02/2025
            + 1 sợi ngày 28/02/2025
            +1 sợi ngày 28/04/2025","HOÀN TẤT","28/04/2025","","",""
"49","THÁNG 02","10/02/2025","PKD SĨ","","DHAG-25/02/02","BB","BBY2.5","Lắc Bi Khắc Kim Cương 2.5mm","610Y","15-16","6","23.10","Theo tiến độ sx","","","","6","Đã giao: 5 sợi ngày 27/02/2025
            +1 sợi ngày 28/02/2025","HOÀN TẤT","28/02/2025","","",""
"50","THÁNG 02","10/02/2025","PKD SĨ","","DHAG-25/02/02","BB","BBY2.5","Lắc Bi Khắc Xoáy  2.5mm","610Y","15-16","6","23.10","Theo tiến độ sx","","","","6","Đã giao: 2 sợi ngày 27/02/2025
            + 4 sợi ngày 28/04/2025","HOÀN TẤT","28/04/2025","","",""
"51","THÁNG 02","10/02/2025","PKD SĨ","","DHAG-25/02/02","BB","BBY2.54","Lắc Bi Khắc Kim Cương 2.5/4.0mm","610Y","15-17","6","30.00","Theo tiến độ sx","","","","6","Đã giao đủ","HOÀN TẤT","28/04/2025","","",""
"52","THÁNG 02","10/02/2025","PKD SĨ","","DHAG-25/02/02","BB","BBY2.54","Lắc Bi Khắc Xoáy  2.5/4.0mm","610Y","15-17","6","30.00","Theo tiến độ sx","","","","6","Đã giao đủ","HOÀN TẤT","28/04/2025","","",""
"53","THÁNG 02","10/02/2025","PKD SĨ","","DHAG-25/02/02","BB","BBY4","Lắc Bi Khắc Kim Cương 4.0mm","610Y","15-17","6","27.00","Theo tiến độ sx","","","","6","Đã giao đủ","HOÀN TẤT","06/03/2025","","",""
"54","THÁNG 02","10/02/2025","PKD SĨ","","DHAG-25/02/02","BB","BBY4","Lắc Bi Khắc Xoáy  4.0mm","610Y","15-17","6","32.10","Theo tiến độ sx","","","","6","Đã giao: 3 sợi ngày 27/02/2025
            + 3 sợi ngày 16/04/2025","HOÀN TẤT","16/04/2025","","",""
"55","THÁNG 02","10/02/2025","PKD SĨ","","DHAG-25/02/02","BB","BBY46","Lắc Bi Khắc Kim Cương 4.0/6.0mm","610Y","15-17","3","22.05","Theo tiến độ sx","","","","3","Đã giao đủ","HOÀN TẤT","28/04/2025","","",""
"56","THÁNG 02","10/02/2025","PKD SĨ","","DHAG-25/02/02","BB","BBY46","Lắc Bi Khắc Xoáy  4.0/6.0mm","610Y","15-17","3","22.05","Theo tiến độ sx","","","","3","Đã giao đủ","HOÀN TẤT","28/04/2025","","",""
"57","THÁNG 02","10/02/2025","PKD SĨ","","DHAG-25/02/03","DD","CW30FS","Dây Franco Vuông , size 0.30mm","750W","42-44","8","15.60","Theo tiến độ sx","","","","","Đã đề xuất NVL","NGƯNG SX","","","",""
"58","THÁNG 02","10/02/2025","PKD SĨ","","DHAG-25/02/03","DD","CW35FS","Dây Franco Vuông, size 0.35mm","750W","43-45","10","20.00","Theo tiến độ sx","","","","","Đã đề xuất NVL","NGƯNG SX","","","",""
"59","THÁNG 02","10/02/2025","PKD SĨ","","DHAG-25/02/03","DD","CW40FS","Dây Franco Vuông, size  0.40mm","750W","44-46","10","26.00","Theo tiến độ sx","","","","","Đã đề xuất NVL","NGƯNG SX","","","",""
"60","THÁNG 02","10/02/2025","PKD SĨ","","DHAG-25/02/03","DD","CW50FS","Dây Franco Vuông, size 0.50mm","750W","45-47","7","11.90","Theo tiến độ sx","","","","","Đã đề xuất NVL","NGƯNG SX","","","",""
"61","THÁNG 02","10/02/2025","PKD SĨ","","DHAG-25/02/03","DD","CW60FS","Dây Franco Vuông, size 0.60mm","750W","46-48","5","14.25","Theo tiến độ sx","","","","","Đã đề xuất NVL","NGƯNG SX","","","",""
"62","THÁNG 02","10/02/2025","PKD SĨ","","DHAG-25/02/03","DD","CW70FS","Dây Franco Vuông, size 0.70mm","750W","46-48","5","22.50","Theo tiến độ sx","","","","","Đã đề xuất NVL","NGƯNG SX","","","",""
"63","THÁNG 02","10/02/2025","PKD SĨ","","DHAG-25/02/03","BB","GBW3-01","Vòng Bi Khắc Kim Cương 1 Tầng","750W","50-52-54","10","60.00","Theo tiến độ sx","","","","10","Đã giao đủ","HOÀN TẤT","","","",""
"64","THÁNG 02","10/02/2025","PKD SĨ","","DHAG-25/02/03","BB","GBW3-01","Vòng Bi Khắc Lồng Đèn 1 Tầng","750W","50-52-54","5","30.00","Theo tiến độ sx","","","","3","Đã giao: 3 chiếc ngày: 21/04/2025","NGƯNG SX","","","",""
"65","THÁNG 02","10/02/2025","PKD SĨ","","DHAG-25/02/03","BB","GBW3-01","Vòng Bi Khắc Xoáy 1 Tầng","750W","50-52-54","5","30.00","Theo tiến độ sx","","","","4","Đã giao:4 chiếc ngày 22/05/2025","NGƯNG SX","","","",""
"66","THÁNG 02","10/02/2025","PKD SĨ","","DHAG-25/02/03","BB","GBW3-02","Vòng Bi Khắc Kim Cương 2 Tầng","750W","50-52-54","3","42.00","Theo tiến độ sx","","","","3","Đã giao đủ","HOÀN TẤT","","","",""
"67","THÁNG 02","10/02/2025","PKD SĨ","","DHAG-25/02/03","BB","GBW3-02","Vòng Bi Khắc Xoáy 2 Tầng","750W","50-52-54","3","42.00","Theo tiến độ sx","","","","","Đã đề xuất NVL","NGƯNG SX","","","",""
"68","THÁNG 02","10/02/2025","PKD SĨ","","DHAG-25/02/03","BB","GBW3-02","Vòng Bi Khắc Lồng đèn 2 Tầng","750W","50-52-54","3","42.00","Theo tiến độ sx","","","","","Đã đề xuất NVL","NGƯNG SX","","","",""
"69","THÁNG 02","10/02/2025","PKD SĨ","","DHAG-25/02/03","BB","GBW3-03","Vòng Bi Khắc Kim Cương 3 Tầng","750W","50-52-54","2","42.00","Theo tiến độ sx","","","","","Đã đề xuất NVL","NGƯNG SX","","","",""
"70","THÁNG 02","10/02/2025","PKD SĨ","","DHAG-25/02/03","BB","GBW3-03","Vòng Bi Khắc Xoáy  3 Tầng","750W","50-52-54","2","42.00","Theo tiến độ sx","","","","","Đã đề xuất NVL","NGƯNG SX","","","",""
"71","THÁNG 02","10/02/2025","PKD SĨ","","DHAG-25/02/03","BB","GBW3-03","Vòng Bi Khắc Lồng đèn  3 Tầng","750W","50-52-54","2","42.00","Theo tiến độ sx","","","","","Đã đề xuất NVL","NGƯNG SX","","","",""
"72","THÁNG 02","10/02/2025","PKD SĨ","","DHAG-25/02/03","BB","GBW4-01","Vòng Bi Khắc Kim Cương 1 Tầng","750W","50-52-54","3","25.50","Theo tiến độ sx","","","","3","","HOÀN TẤT","","","",""
"73","THÁNG 02","10/02/2025","PKD SĨ","","DHAG-25/02/03","BB","GBW4-01","Vòng Bi Khắc Xoáy  1 Tầng","750W","50-52-54","3","25.50","Theo tiến độ sx","","","","3","Đã giao đủ","HOÀN TẤT","22/05/2025","","",""
"74","THÁNG 02","10/02/2025","PKD SĨ","","DHAG-25/02/03","BB","GBW4-01","Vòng Bi Khắc Lồng Đèn  1 Tầng","750W","50-52-54","3","25.50","Theo tiến độ sx","","","","3","","HOÀN TẤT","","","",""
"75","THÁNG 02","10/02/2025","PKD SĨ","","DHAG-25/02/03","BB","GBW46-01","Vòng Bi Khắc Kim Cương 1 Tầng","750W","50-52-54","2","19.00","Theo tiến độ sx","","","","","Đã đề xuất NVL","NGƯNG SX","","","",""
"76","THÁNG 02","10/02/2025","PKD SĨ","","DHAG-25/02/03","BB","GBW46-01","Vòng Bi Khắc Xoáy  1 Tầng","750W","50-52-54","2","19.00","Theo tiến độ sx","","","","2","Đã giao đủ","HOÀN TẤT","22/05/2025","","",""
"77","THÁNG 02","10/02/2025","PKD SĨ","","DHAG-25/02/03","BB","CBW2.5","Dây Bi Khắc Kim Cương 2.5mm","750W","45-47","5","60.00","Theo tiến độ sx","","","","","Đã đề xuất NVL","NGƯNG SX","","","",""
"78","THÁNG 02","10/02/2025","PKD SĨ","","DHAG-25/02/03","BB","CBW2.5","Dây Bi Khắc Xoáy  2.5mm","750W","45-47","5","60.00","Theo tiến độ sx","","","","5","","HOÀN TẤT","","","",""
"79","THÁNG 02","10/02/2025","PKD SĨ","","DHAG-25/02/03","BB","BBW2.5","Lắc Bi Khắc Kim Cương 2.5mm","750W","15-16","6","27.00","Theo tiến độ sx","","","","","Đã đề xuất NVL","NGƯNG SX","","","",""
"80","THÁNG 02","10/02/2025","PKD SĨ","","DHAG-25/02/03","BB","BBW2.5","Lắc Bi Khắc Xoáy  2.5mm","750W","15-16","6","27.00","Theo tiến độ sx","","","","2","Đã giao: 2 sợi ngày 22/05/2025","NGƯNG SX","","","",""
"81","THÁNG 02","10/02/2025","PKD SĨ","","DHAG-25/02/03","BB","BBW2.54","Lắc Bi Khắc Kim Cương 2.5/4.0mm","750W","15-17","6","33.00","Theo tiến độ sx","","","","","Đã đề xuất NVL","NGƯNG SX","","","",""
"82","THÁNG 02","10/02/2025","PKD SĨ","","DHAG-25/02/03","BB","BBW2.54","Lắc Bi Khắc Xoáy  2.5/4.0mm","750W","15-17","6","33.00","Theo tiến độ sx","","","","","Đã đề xuất NVL","NGƯNG SX","","","",""
"83","THÁNG 02","10/02/2025","PKD SĨ","","DHAG-25/02/03","BB","BBW4","Lắc Bi Khắc Kim Cương 4.0mm","750W","15-17","6","31.80","Theo tiến độ sx","","","","6","","HOÀN TẤT","","","",""
"84","THÁNG 02","10/02/2025","PKD SĨ","","DHAG-25/02/03","BB","BBW4","Lắc Bi Khắc Xoáy  4.0mm","750W","15-17","6","31.80","Theo tiến độ sx","","","","","Đã đề xuất NVL","NGƯNG SX","","","",""
"85","THÁNG 02","10/02/2025","PKD SĨ","","DHAG-25/02/03","BB","BBW46","Lắc Bi Khắc Kim Cương 4.0/6.0mm","750W","15-17","3","25.50","Theo tiến độ sx","","","","","Đã đề xuất NVL","NGƯNG SX","","","",""
"86","THÁNG 02","10/02/2025","PKD SĨ","","DHAG-25/02/03","BB","BBW46","Lắc Bi Khắc Xoáy  4.0/6.0mm","750W","15-17","3","25.50","Theo tiến độ sx","","","","3","Đã giao đủ","HOÀN TẤT","22/05/2025","","",""
"87","THÁNG 02","12/02/2025","CH1","","DHAG-25/02/04","BB","GBY3","Vòng xoắn bi 3.0 quấn 3 vòng","750Y","50","1","21.00","","","","","","Đã giao đủ","HOÀN TẤT","28/02/2025","","",""
"88","THÁNG 02","21/02/2025","PKD SĨ","","DHAG-25/02/07","BB","BBY3","Lắc Bi Size .030mm Khắc Xoáy","610Y","15","5","22.50","","","","","5","Đã giao đủ","HOÀN TẤT","06/03/2025","","",""
"89","THÁNG 02","21/02/2025","PKD SĨ","","DHAG-25/02/07","BB","BBY3","Lắc Bi Size .030mm Khắc Xoáy","610Y","16","5","24.25","","","","","5","Đã giao đủ","HOÀN TẤT","06/03/2025","","",""
"90","THÁNG 02","21/02/2025","PKD SĨ","","DHAG-25/02/07","BB","BBY46","Lắc Bi Size 0.40mm/.0.60mm Khắc kim cương","610Y","16","5","33.25","","","","","5","Đã giao đủ","HOÀN TẤT","06/03/2025","","",""
"91","THÁNG 02","28/02/2025","PKD SĨ","","DHAG-25/02/08","DD","CY60FS","Dây Franco vuông 0.60mm","680Y","48","3","40.50","24/03/2025","","","","3","Đã giao đủ","HOÀN TẤT","27/03/2025","","",""
"92","THÁNG 02","28/02/2025","PKD SĨ","","DHAG-25/02/08","DD","CY60FS","Dây Franco vuông 0.60mm","680Y","50","1","13.50","24/03/2025","","","","1","Đã giao đủ","HOÀN TẤT","27/03/2025","","",""
"93","THÁNG 02","28/02/2025","PKD SĨ","","DHAG-25/02/08","DD","CY50FS","Dây Franco vuông 0.50mm","680Y","46","3","27.75","24/03/2025","","","","3","Đã giao đủ","HOÀN TẤT","27/03/2025","","",""
"94","THÁNG 02","28/02/2025","PKD SĨ","","DHAG-25/02/08","DD","BY40FS","Lắc Franco vuông 0.40mm","680Y","13","10","19.00","24/03/2025","","","","10","Đã giao đủ","HOÀN TẤT","27/03/2025","","",""
"95","THÁNG 02","28/02/2025","PKD SĨ","","DHAG-25/02/08","DD","BY70FS","Lắc Franco vuông 0.70mm","680Y","15-17","6","39.00","24/03/2025","","","","6","Đã giao đủ","HOÀN TẤT","27/03/2025","","",""
"96","THÁNG 02","28/02/2025","PKD SĨ","","DHAG-25/02/08","DD","BY70FS","Lắc Franco vuông 0.70mm","680Y","16-18","6","43.20","24/03/2025","","","","6","Đã giao đủ","HOÀN TẤT","27/03/2025","","",""
"97","THÁNG 02","28/02/2025","PKD SĨ","","DHAG-25/02/08","DD","CY50CA4","Dây cong khế 0.50mm","680Y","42","10","36.00","24/03/2025","","","","10","Đã giao đủ","HOÀN TẤT","16/04/2025","","",""
"98","THÁNG 02","28/02/2025","PKD SĨ","","DHAG-25/02/08","DD","CY60CA4","Dây cong khế 0.60mm","680Y","44","5","29.10","24/03/2025","","","","5","Đã giao đủ","HOÀN TẤT","16/04/2025","","",""
